latitude,longitude
40.707457,-73.921967
40.707016,-73.922321
40.706698,-73.922647
40.706696,-73.922651
40.706696,-73.922651
40.707811,-73.921829
40.707706,-73.921893
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.707916,-73.921484
40.714801,-73.994593
40.723778,-73.990108
40.718419,-74.000725
40.718419,-74.000725
40.750416,-73.945975
40.750533,-73.945825
40.750600,-73.945831
40.750325,-73.945939
40.749700,-73.945267
40.750316,-73.946006
40.750191,-73.945970
40.750488,-73.944389
40.750994,-73.945153
40.750000,-73.944809
40.718475,-73.952689
40.724166,-73.987823
40.724166,-73.987823
40.724872,-73.987367
40.725163,-73.991037
40.724075,-73.988281
40.706486,-73.922991
40.706486,-73.922991
40.707694,-73.921889
40.707694,-73.921889
40.707694,-73.921889
40.707705,-73.921888
40.707457,-73.921967
40.707457,-73.921967
40.706923,-73.922434
40.706923,-73.922434
40.706923,-73.922434
40.706863,-73.922551
40.706863,-73.922551
40.706863,-73.922551
40.706734,-73.923103
40.707873,-73.922702
40.707770,-73.922807
40.706863,-73.922551
40.707263,-73.922259
40.707263,-73.922259
40.706486,-73.922991
40.706755,-73.922670
40.706755,-73.922670
40.706755,-73.922670
40.723247,-73.997039
40.722958,-73.997220
40.719810,-74.002919
40.707457,-73.921967
40.706486,-73.922991
40.722319,-74.003406
40.739525,-74.006823
40.739472,-74.006809
40.723122,-73.996970
40.723838,-73.997103
40.723838,-73.997103
40.723791,-73.997178
40.723855,-73.997237
40.722936,-73.997173
40.723400,-73.997203
40.725453,-73.986911
40.720908,-73.998195
40.720875,-73.998189
40.721166,-73.999212
40.721011,-73.999139
40.720911,-73.999064
40.721755,-74.002070
40.721755,-74.002070
40.721766,-74.002131
40.722013,-74.002964
40.722033,-74.003048
40.721022,-73.999203
40.722111,-74.003084
40.719883,-74.006052
40.713686,-73.973803
40.712284,-73.998794
40.704788,-73.923581
40.709541,-73.924295
40.719810,-74.002919
40.719810,-74.002919
40.719810,-74.002919
40.720591,-74.004786
